nodes;migration;evaluations
s2;random_none;3748
s2;random_none;3324
s2;random_none;2501
s2;random_none;3773
s2;random_none;3973
s2;random_none;3798
s2;random_none;3599
s2;random_none;3449
s2;random_none;3000
s2;random_none;2875
s2;random_none;4322
s2;random_none;3025
s2;random_none;3374
s2;random_none;3249
s2;random_none;3499
s2;random_none;2601
s2;random_none;3623
s2;random_none;4023
s2;random_none;3374
s2;random_none;3798
s2;random_none;3449
s2;random_none;3549
s2;random_none;3174
s2;random_none;3299
s2;random_none;3948
s2;random_none;3623
s8;best_none;1897
s8;best_none;1486
s8;best_none;1992
s8;best_none;1403
s8;best_none;1326
s8;best_none;1248
s8;best_none;1909
s8;best_none;980
s8;best_none;1974
s8;best_none;2153
s8;best_none;1820
s8;best_none;1177
s8;best_none;1546
s8;best_none;2676
s8;best_none;1463
s8;best_none;4021
s8;best_none;1558
s8;best_none;1123
s8;best_none;1272
s8;best_none;1534
s8;best_none;1022
s8;best_none;2111
s8;best_none;2367
s8;best_none;1629
s8;best_none;1611
s8;best_none;1956
s8;best_none;1373
s8;best_none;1445
s8;best_none;2272
s8;best_none;992
s4;multikulti_elite_consensus;2136
s4;multikulti_elite_consensus;2303
s4;multikulti_elite_consensus;1813
s4;multikulti_elite_consensus;2733
s4;multikulti_elite_consensus;2351
s4;multikulti_elite_consensus;2088
s4;multikulti_elite_consensus;1765
s4;multikulti_elite_consensus;1777
s4;multikulti_elite_consensus;1574
s4;multikulti_elite_consensus;2028
s4;multikulti_elite_consensus;1909
s4;multikulti_elite_consensus;2315
s4;multikulti_elite_consensus;1383
s4;multikulti_elite_consensus;1706
s4;multikulti_elite_consensus;2327
s4;multikulti_elite_consensus;2363
s4;multikulti_elite_consensus;1837
s4;multikulti_elite_consensus;1897
s4;multikulti_elite_consensus;1969
s4;multikulti_elite_consensus;1574
s4;multikulti_elite_consensus;1622
s4;multikulti_elite_consensus;2004
s4;multikulti_elite_consensus;1849
s4;multikulti_elite_consensus;2423
s4;multikulti_elite_consensus;2530
s4;multikulti_elite_consensus;2351
